DSCP Class,DSCP (bin),DSCP (hex),DSCP (dec),ToS (dec),ToS (hex),ToS (bin),ToS Prec. (bin),ToS Prec. (dec),ToS Delay Flag,ToS Throughput Flag,ToS Reliability Flag,TOS String Format
cs0,000000,0x00,0,0,0x00,00000000,000,0,0,0,0,Routine
cs1,001000,0x08,8,32,0x20,00100000,001,1,0,0,0,Priority
af11,001010,0x0a,10,40,0x28,00101000,001,1,0,1,0,Priority
af12,001100,0x0c,12,48,0x30,00110000,001,1,1,0,0,Priority
af13,001110,0x0e,14,56,0x38,00111000,001,1,1,1,0,Priority
cs2,010000,0x10,16,64,0x40,01000000,010,2,0,0,0,Immediate
af21,010010,0x12,18,72,0x48,01001000,010,2,0,1,0,Immediate
af22,010100,0x14,20,80,0x50,01010000,010,2,1,0,0,Immediate
af23,010110,0x16,22,88,0x58,01011000,010,2,1,1,0,Immediate
cs3,011000,0x18,24,96,0x60,01100000,011,3,0,0,0,Flash
af31,011010,0x1a,26,104,0x68,01101000,011,3,0,1,0,Flash
af32,011100,0x1c,28,112,0x70,01110000,011,3,1,0,0,Flash
af33,011110,0x1e,30,120,0x78,01111000,011,3,1,1,0,Flash
cs4,100000,0x20,32,128,0x80,10000000,100,4,0,0,0,FlashOverride
af41,100010,0x22,34,136,0x88,10001000,100,4,0,1,0,FlashOverride
af42,100100,0x24,36,144,0x90,10010000,100,4,1,0,0,FlashOverride
af43,100110,0x26,38,152,0x98,10011000,100,4,1,1,0,FlashOverride
cs5,101000,0x28,40,160,0xa0,10100000,101,5,0,0,0,Critical
ef,101110,0x2e,46,184,0xb8,10111000,101,5,1,1,0,Critical
cs6,110000,0x30,48,192,0xc0,11000000,110,6,0,0,0,Internetwork Control
cs7,111000,0x38,56,224,0xe0,11100000,111,7,0,0,0,Network Control
